,url_name,full_name,name,lat,long
0,/wiki/Khlong_Bang_Phai_MRT_Station,Khlong Bang Phai MRT Station,Khlong Bang Phai,13.8924,100.4081
1,/wiki/Talad_Bang_Yai_MRT_Station,Talad Bang Yai MRT Station,Talad Bang Yai,13.8811,100.4092
2,/wiki/Sam_Yaek_Bang_Yai_MRT_Station,Sam Yaek Bang Yai MRT Station,Sam Yaek Bang Yai,13.8747,100.4192
3,/wiki/Bang_Phlu_MRT_Station,Bang Phlu MRT Station,Bang Phlu,13.8758,100.4339
4,/wiki/Bang_Rak_Yai_MRT_Station,Bang Rak Yai MRT Station,Bang Rak Yai,13.8766,100.4449
5,/wiki/Bang_Rak_Noi_Tha_It_MRT_Station,Bang Rak Noi Tha It MRT Station,Bang Rak Noi Tha It,13.8748,100.4559
6,/wiki/Sai_Ma_MRT_Station,Sai Ma MRT Station,Sai Ma,13.8705,100.4666
7,/wiki/Phra_Nang_Klao_Bridge_MRT_Station,Phra Nang Klao Bridge MRT Station,Phra Nang Klao Bridge,13.8703,100.4803
8,/wiki/Yaek_Nonthaburi_1_MRT_Station,Yaek Nonthaburi 1 MRT Station,Yaek Nonthaburi 1,13.8659,100.4943
9,/wiki/Bang_Krasor_MRT_Station,Bang Krasor MRT Station,Bang Krasor,13.8616,100.5048
10,/wiki/Nonthaburi_Civic_Center_MRT_Station,Nonthaburi Civic Center MRT Station,Nonthaburi Civic Center,13.8602,100.513
11,/wiki/Ministry_of_Public_Health_MRT_Station,Ministry of Public Health MRT Station,Ministry of Public Health,0.0,0.0
12,/wiki/Yaek_Tiwanon_MRT_Station,Yaek Tiwanon MRT Station,Yaek Tiwanon,13.8396,100.5149
13,/wiki/Wong_Sawang_MRT_Station,Wong Sawang MRT Station,Wong Sawang,13.8299,100.5265
14,/wiki/Bang_Son_MRT_Station,Bang Son MRT Station,Bang Son,13.8202,100.5324
15,/wiki/Tao_Poon_MRT_Station,Tao Poon MRT Station,Tao Poon,13.8062,100.5308
